mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall
0.2905080318450928,0.011561089240237337,0.033121252059936525,0.0019668650728736003,0.8139263288155613,0.3802857225639665,0.1227864955303236,1,6,400,0.44583275285359114,0.9998745790900144,1,0.8192290951985155,"{'colsample_bytree': 0.8139263288155613, 'gamma': 0.3802857225639665, 'learning_rate': 0.1227864955303236, 'max_depth': 1, 'min_child_weight': 6, 'n_estimators': 400, 'reg_alpha': 0.44583275285359114, 'reg_lambda': 0.9998745790900144, 'scale_pos_weight': 1, 'subsample': 0.8192290951985155}",0.7918660287081339,0.788249694002448,0.7813267813267812,0.8085106382978724,0.8119047619047619,0.7963715808479994,0.011842697903468747,160,0.8100183262064753,0.8077858880778589,0.8114977307110439,0.7997561718988112,0.8024427480916031,0.8063001729971585,0.00448888173279967,0.9506264618955231,0.9535578079575469,0.9526935141701873,0.958640822469221,0.9563683325421029,0.9543773878069162,0.0028184152570205896,49,0.9591629718903305,0.9586488604145492,0.958964539587339,0.9576191270363227,0.9579798215606042,0.958475064097829,0.0005866688963048435,0.7975903614457831,0.8131313131313131,0.8091603053435115,0.8544973544973545,0.8157894736842105,0.8180337616204346,0.01926310085122509,37,0.8344870988042794,0.8284466625077979,0.8277777777777777,0.8220551378446115,0.8258956631049654,0.8277324680078862,0.004043342527878584,0.7862232779097387,0.7648456057007126,0.7553444180522565,0.7672209026128266,0.8080568720379147,0.7763382152626898,0.018760237935446348,392,0.7869436201780415,0.7881305637982196,0.7958456973293768,0.7786350148367952,0.7802850356294537,0.7859679863543774,0.006152498303676298
0.4062750816345215,0.0203117557072793,0.040378761291503903,0.0023631230735370965,0.8451067984466857,0.2832290311184182,0.05164555077876334,2,5,455,0.21233911067827616,1.409124836035503,2,0.7446207043543499,"{'colsample_bytree': 0.8451067984466857, 'gamma': 0.2832290311184182, 'learning_rate': 0.05164555077876334, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 455, 'reg_alpha': 0.21233911067827616, 'reg_lambda': 1.409124836035503, 'scale_pos_weight': 2, 'subsample': 0.7446207043543499}",0.7930660888407367,0.7995642701525055,0.796943231441048,0.8197088465845465,0.7931769722814499,0.8004918818600573,0.009913580792101065,45,0.8171397379912663,0.8147540983606558,0.8155021834061135,0.8137893593919653,0.8201478237065425,0.8162666405713086,0.0022286759464719805,0.9495486129998649,0.9524950690931362,0.9508309509850733,0.9574058292485881,0.9549602104941302,0.9530481345641585,0.002832453810470373,187,0.9622051599950912,0.9615958287050295,0.9616677627749055,0.9607029148087893,0.9613471549825832,0.9615037642532798,0.0004885107289326011,0.7290836653386454,0.738430583501006,0.7373737373737373,0.7754237288135594,0.7209302325581395,0.7402483895170175,0.018690718512408923,298,0.7564426478019202,0.7549367088607595,0.7549267306720566,0.7498749374687343,0.760792280345353,0.7553946610297647,0.003496529643791948,0.8693586698337292,0.8717339667458432,0.8669833729216152,0.8693586698337292,0.8815165876777251,0.8717902534025285,0.005089912452733932,173,0.8884272997032641,0.88486646884273,0.886646884272997,0.8896142433234422,0.8895486935866983,0.8878207179458263,0.0018262556107329928
0.5023163795471192,0.006534536233384268,0.05098252296447754,0.005653883871306638,0.8465570227972938,0.0028265220878869626,0.05189334385332467,3,4,467,0.04666566321361543,5.3687775942072955,1,0.6961972467311457,"{'colsample_bytree': 0.8465570227972938, 'gamma': 0.0028265220878869626, 'learning_rate': 0.05189334385332467, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 467, 'reg_alpha': 0.04666566321361543, 'reg_lambda': 5.3687775942072955, 'scale_pos_weight': 1, 'subsample': 0.6961972467311457}",0.7885304659498207,0.7853658536585365,0.7765567765567766,0.7970112079701122,0.7976470588235295,0.7890222725917551,0.00783849335790604,268,0.824779836015791,0.8273576378427238,0.8299155609167671,0.8228191971023242,0.8236002408187839,0.825694494539278,0.0026104896560725658,0.9487447593374957,0.9521958904744348,0.9501177575101892,0.9554636865655705,0.9532785104482655,0.9519601208671912,0.002358031530913622,300,0.9663493302201762,0.9655108546182869,0.9659104254053765,0.9655130573238387,0.965525645248701,0.9657618625632759,0.0003310277394059085,0.7932692307692307,0.8070175438596491,0.7989949748743719,0.837696335078534,0.7920560747663551,0.8058068318696282,0.01679929996412542,83,0.8445273631840796,0.8402692778457772,0.8436541998773759,0.8372235872235873,0.8351648351648352,0.840167852659131,0.003601919460925115,0.7838479809976246,0.7648456057007126,0.7553444180522565,0.7600950118764845,0.8033175355450237,0.7734901104344203,0.017778543533308773,441,0.8059347181008902,0.8148367952522255,0.8166172106824926,0.8089020771513353,0.8123515439429929,0.8117284690259872,0.0038860198166281615
0.28657145500183107,0.008333255594850913,0.03168396949768067,0.0018586478043911719,0.8704366431504846,0.0798695128633439,0.10101054519054425,1,4,348,0.6803075385877797,2.7524962598477147,3,0.8440419126420349,"{'colsample_bytree': 0.8704366431504846, 'gamma': 0.0798695128633439, 'learning_rate': 0.10101054519054425, 'max_depth': 1, 'min_child_weight': 4, 'n_estimators': 348, 'reg_alpha': 0.6803075385877797, 'reg_lambda': 2.7524962598477147, 'scale_pos_weight': 3, 'subsample': 0.8440419126420349}",0.7845528455284552,0.7908902691511388,0.7868852459016394,0.7978723404255319,0.7665995975855131,0.7853600597184556,0.01041223426499322,388,0.7917199079989776,0.7933333333333332,0.793388429752066,0.7910562837316886,0.7938064516129032,0.7926608812857937,0.0010727547658724885,0.9500885447831106,0.9521435090327768,0.9522210738598474,0.9589933898649969,0.9560364180593663,0.9538965871200198,0.0031918047739443417,129,0.9585215440336574,0.9580845901866322,0.9583466492128474,0.9570383050495451,0.9575649882443957,0.9579112153454155,0.0005429563861456576,0.6856127886323268,0.7009174311926606,0.6918918918918919,0.7225433526011561,0.666083916083916,0.6934098760803902,0.018519880001490182,477,0.6952423698384201,0.6984198645598194,0.7023319615912208,0.6976427923844062,0.701962574167047,0.6991199125081827,0.0026872019933203966,0.9168646080760094,0.9073634204275535,0.9121140142517815,0.8907363420427553,0.9028436018957346,0.9059843973387668,0.008946738849343133,12,0.9192878338278931,0.9181008902077151,0.9115727002967359,0.913353115727003,0.9133016627078385,0.9151232405534371,0.003008922015222616
0.32518296241760253,0.006295417589659187,0.0326195240020752,0.003251593154998692,0.8952703967535591,0.3233589392465845,0.08004847826652016,1,3,381,0.24102546602601171,3.916317594127291,2,0.8093347249868843,"{'colsample_bytree': 0.8952703967535591, 'gamma': 0.3233589392465845, 'learning_rate': 0.08004847826652016, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 381, 'reg_alpha': 0.24102546602601171, 'reg_lambda': 3.916317594127291, 'scale_pos_weight': 2, 'subsample': 0.8093347249868843}",0.7883995703544575,0.798687089715536,0.8,0.824858757062147,0.7905982905982906,0.8005087415460862,0.012971889252700963,44,0.8087193460490463,0.810840405146455,0.80752453653217,0.8047045951859956,0.8137931034482758,0.8091163972723885,0.003065924061196986,0.9501590582622658,0.9519269319182285,0.9526038613181185,0.9586116097421423,0.9555667087762213,0.9537736340033952,0.0029821120335960217,137,0.95835162103395,0.9579041571347207,0.9581777331642496,0.9566061971547337,0.9571405852417303,0.9576360587458769,0.0006608216400747941,0.7196078431372549,0.7403651115618661,0.7479338842975206,0.7866379310344828,0.7198443579766537,0.7428778256015557,0.024571760228357525,226,0.7476070528967255,0.7525406504065041,0.7468482097831568,0.7463216641298833,0.7599175682637815,0.7506470290960102,0.005136340403105357,0.8717339667458432,0.8669833729216152,0.8598574821852731,0.8669833729216152,0.8767772511848341,0.8684670891918362,0.005626001102936938,224,0.8807121661721068,0.8789317507418397,0.8789317507418397,0.8729970326409495,0.8758907363420427,0.8774926873277555,0.0027307145245288314
0.2989542484283447,0.005063128971590616,0.03484158515930176,0.0021851200123098762,0.7862412424082517,0.15642424302929633,0.06781071012798932,2,3,301,0.18485445552552704,5.347923138822793,3,0.6943024914769647,"{'colsample_bytree': 0.7862412424082517, 'gamma': 0.15642424302929633, 'learning_rate': 0.06781071012798932, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 301, 'reg_alpha': 0.18485445552552704, 'reg_lambda': 5.347923138822793, 'scale_pos_weight': 3, 'subsample': 0.6943024914769647}",0.786447638603696,0.7921406411582212,0.780388151174668,0.8021390374331551,0.7731434384537131,0.7868517813646907,0.009914965940314782,323,0.8011363636363636,0.7978450487429452,0.7982456140350875,0.7970118495620815,0.8042465044018644,0.7996970760756683,0.0026651842526638917,0.9494680261665448,0.9529775827576411,0.951439381576641,0.9580475019089005,0.955493285269434,0.9534851555358322,0.0030142242465245462,150,0.9612803383355727,0.9605205937235479,0.9606833421966008,0.9596592729183646,0.960051092052325,0.9604389278452823,0.0005536529077571818,0.6925858951175407,0.7014652014652014,0.6845878136200717,0.7295719844357976,0.6773618538324421,0.6971145496942107,0.0181108258430711,444,0.7091906721536351,0.7026660641662901,0.7060702875399361,0.7041420118343196,0.7130394857667585,0.7070217042921879,0.003717190844021216,0.9097387173396675,0.9097387173396675,0.9073634204275535,0.8907363420427553,0.9004739336492891,0.9036102261597867,0.00727703921200796,44,0.9204747774480713,0.9228486646884273,0.9181008902077151,0.9181008902077151,0.922209026128266,0.920346849736039,0.001991572889803677
0.5444709777832031,0.008261737260477792,0.04558782577514649,0.003219276107520363,0.8167626233573564,0.3706635463175177,0.12231430093482519,3,5,487,0.32533033076326434,2.44338644844741,3,0.7212838911827589,"{'colsample_bytree': 0.8167626233573564, 'gamma': 0.3706635463175177, 'learning_rate': 0.12231430093482519, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 487, 'reg_alpha': 0.32533033076326434, 'reg_lambda': 2.44338644844741, 'scale_pos_weight': 3, 'subsample': 0.7212838911827589}",0.7742616033755275,0.7869198312236286,0.7790575916230367,0.7947882736156352,0.7804370447450573,0.783092868916577,0.007109940189574946,464,0.8411858125992588,0.8409090909090909,0.8395976707252514,0.8349565675177678,0.8399683627735302,0.8393235009049798,0.0022602399711530814,0.9474674580293698,0.9480758886209375,0.9464641519545329,0.9538851919679103,0.9479316698718206,0.9487648720889142,0.0026215719023367843,486,0.9753504032524519,0.9744749221972931,0.974988593131964,0.9741813330144654,0.9740698642514791,0.9746130231695307,0.000486874123802701,0.6963946869070209,0.7077798861480076,0.6966292134831461,0.732,0.6957328385899815,0.7057073250256312,0.013886885788215729,343,0.7591973244147158,0.7579799904716532,0.7577639751552795,0.750236518448439,0.7553342816500711,0.7561024180280318,0.0031894609978334954,0.8717339667458432,0.8859857482185273,0.8836104513064132,0.8693586698337292,0.8886255924170616,0.8798628857043148,0.007806876414198679,161,0.943026706231454,0.944213649851632,0.9412462908011869,0.9412462908011869,0.9459619952494062,0.9431389865869733,0.0018056290091754952
0.4179091930389404,0.005746506684157524,0.03297443389892578,0.0006186915252302168,0.8431300945818425,0.3861021229056552,0.11029052611785156,1,2,454,0.8021969807540397,0.8727532183988541,1,0.6863966956779459,"{'colsample_bytree': 0.8431300945818425, 'gamma': 0.3861021229056552, 'learning_rate': 0.11029052611785156, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 454, 'reg_alpha': 0.8021969807540397, 'reg_lambda': 0.8727532183988541, 'scale_pos_weight': 1, 'subsample': 0.6863966956779459}",0.7956989247311828,0.7897934386391252,0.7847478474784748,0.8064918851435705,0.8100358422939068,0.797353587657252,0.009624411791350535,136,0.8070710149344713,0.8075288403157256,0.8110571081409478,0.7993911719939119,0.800122436486073,0.8050341143742259,0.004530263871211149,0.9512983546183307,0.9531448004367805,0.95275899097226,0.9587284606504565,0.956254676976802,0.9544370567309259,0.0026854114370262147,31,0.9591943761780541,0.9587034245777887,0.9589248279529629,0.9575231520087101,0.9579659077401639,0.958462337691536,0.0006223203223141576,0.8004807692307693,0.8084577114427861,0.8137755102040817,0.85,0.8168674698795181,0.817916292151431,0.01697688205263117,38,0.8295739348370927,0.8266003729024238,0.8307405102675793,0.820625,0.8256475047378395,0.8266374645489872,0.003538049408715018,0.7909738717339667,0.7719714964370546,0.7577197149643705,0.7672209026128266,0.8033175355450237,0.7782407042586484,0.01657003933585731,364,0.7857566765578635,0.7893175074183977,0.7922848664688428,0.7792284866468843,0.7761282660332541,0.7845431606250485,0.006054043740829497
0.4988268852233887,0.007615390257783923,0.047437095642089845,0.002292332864624339,0.8167256433199238,0.11739526988721526,0.050995083620691536,3,2,433,0.7290071680409873,4.356351733429729,2,0.8372665150200397,"{'colsample_bytree': 0.8167256433199238, 'gamma': 0.11739526988721526, 'learning_rate': 0.050995083620691536, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 433, 'reg_alpha': 0.7290071680409873, 'reg_lambda': 4.356351733429729, 'scale_pos_weight': 2, 'subsample': 0.8372665150200397}",0.7913043478260868,0.7951807228915662,0.7943107221006565,0.8207440811724915,0.790547798066595,0.7984175344114792,0.011299094830826355,106,0.828060522696011,0.8283991228070177,0.8275672707303678,0.8211448918104629,0.8299917605053557,0.827032713709843,0.0030539031090699585,0.9492363390207491,0.9522240958660968,0.9499213271039711,0.9562766062466884,0.9532423015956033,0.9521801339666217,0.002517115610698847,264,0.9668384567215559,0.9661098646594775,0.9662666343603187,0.9651655333222149,0.965778675313634,0.9660318328754401,0.0005525262695585888,0.7294589178356713,0.7378048780487805,0.7363083164300203,0.7811158798283262,0.7229862475442044,0.7415348479374005,0.02048299810519179,270,0.7717948717948718,0.7697401935812532,0.770056208482371,0.7624618514750763,0.772100153295861,0.7692306557258866,0.00350904823329944,0.8646080760095012,0.8622327790973872,0.8622327790973872,0.8646080760095012,0.8720379146919431,0.8651439249811441,0.0036069627967711152,274,0.8931750741839762,0.8967359050445104,0.8943620178041543,0.8896142433234422,0.8972684085510689,0.8942311297814303,0.0027548860995836527
0.3574324607849121,0.005184325995952176,0.03770532608032227,0.0018676229763396636,0.8519824016205563,0.36598387021751233,0.13459095912816305,2,2,345,0.37081825219826636,3.8442062633180365,2,0.7782581049674542,"{'colsample_bytree': 0.8519824016205563, 'gamma': 0.36598387021751233, 'learning_rate': 0.13459095912816305, 'max_depth': 2, 'min_child_weight': 2, 'n_estimators': 345, 'reg_alpha': 0.37081825219826636, 'reg_lambda': 3.8442062633180365, 'scale_pos_weight': 2, 'subsample': 0.7782581049674542}",0.7913043478260868,0.7978142076502733,0.7929901423877327,0.8188976377952755,0.7952586206896551,0.7992529912698048,0.010063214600326444,82,0.823982398239824,0.8250137136588042,0.8242059145673604,0.8219178082191781,0.8249794576828265,0.8240198584735985,0.0011281147266798974,0.9490912827207726,0.9512248191329259,0.9495737963852775,0.9566805477487061,0.9535319724169006,0.9520204836809165,0.0028000133705176943,290,0.9651592398777813,0.9644273122901531,0.964720209194093,0.9640311399630576,0.9640672753994589,0.9644810353449088,0.0004227658529787893,0.7294589178356713,0.7388663967611336,0.7357723577235772,0.7777777777777778,0.7292490118577075,0.7422248923911734,0.018156353917111557,248,0.7678113787801127,0.7669556348801632,0.7651245551601423,0.7633587786259542,0.7656329435688867,0.7657766582030519,0.001537667568486648,0.8646080760095012,0.8669833729216152,0.8598574821852731,0.8646080760095012,0.8744075829383886,0.8660929180128558,0.00475850258543952,264,0.8890207715133531,0.8925816023738873,0.8931750741839762,0.8902077151335311,0.8942992874109263,0.891856890123135,0.0019489211626509072
